year,season,week,threshold,baseline,influenza_deaths,pnemonia_deaths,total_usa_deaths
2014,2013-14,1,8.2,7.8,350,"4,490","53,277"
2014,2013-14,2,8.3,7.9,459,"4,987","55,620"
2014,2013-14,3,8.4,7.9,474,"5,004","54,580"
2014,2013-14,4,8.4,8,442,"4,783","54,085"
2014,2013-14,5,8.4,8,385,"4,623","53,955"
2014,2013-14,6,8.5,8.1,315,"4,475","53,397"
2014,2013-14,7,8.5,8.1,271,"4,385","53,815"
2014,2013-14,8,8.5,8.1,209,"3,989","52,642"
2014,2013-14,9,8.5,8.1,161,"3,868","51,674"
2014,2013-14,10,8.4,8,125,"4,048","52,058"
2014,2013-14,11,8.4,8,93,"3,941","51,782"
2014,2013-14,12,8.3,7.9,74,"3,833","51,385"
2014,2013-14,13,8.3,7.9,65,"3,795","50,858"
2014,2013-14,14,8.2,7.8,55,"3,808","50,749"
2014,2013-14,15,8.1,7.7,72,"3,717","50,532"
2014,2013-14,16,8,7.6,53,"3,577","49,736"
2014,2013-14,17,7.9,7.5,54,"3,476","49,747"
2014,2013-14,18,7.7,7.3,53,"3,483","49,590"
2014,2013-14,19,7.6,7.2,39,"3,512","50,321"
2014,2013-14,20,7.5,7.1,27,"3,222","47,931"
2014,2013-14,21,7.4,7,24,"3,242","48,598"
2014,2013-14,22,7.2,6.8,15,"3,140","48,163"
2014,2013-14,23,7.1,6.7,20,"3,218","47,750"
2014,2013-14,24,7,6.6,15,"3,214","47,715"
2014,2013-14,25,6.9,6.5,7,"3,070","47,540"
2014,2013-14,26,6.8,6.4,3,"2,989","47,341"
2014,2013-14,27,6.7,6.3,6,"2,989","47,240"
2014,2013-14,28,6.6,6.2,4,"2,982","47,292"
2014,2013-14,29,6.5,6.1,7,"2,939","47,098"
2014,2013-14,30,6.5,6.1,3,"2,983","47,122"
2014,2013-14,31,6.4,6,5,"2,919","46,936"
2014,2013-14,32,6.4,6,1,"2,826","46,885"
2014,2013-14,33,6.4,6,5,"2,864","46,646"
2014,2013-14,34,6.4,6,6,"2,867","46,631"
2014,2013-14,35,6.4,6,5,"2,812","46,393"
2014,2013-14,36,6.4,6,1,"2,960","47,288"
2014,2013-14,37,6.4,6,4,"2,874","46,814"
2014,2013-14,38,6.5,6.1,6,"2,984","47,944"
2014,2013-14,39,6.6,6.2,6,"3,017","48,413"
2013,2013-14,40,6.8,6.4,3,"3,140","47,492"
2013,2013-14,41,6.9,6.5,12,"3,135","47,304"
2013,2013-14,42,7,6.6,11,"3,216","47,602"
2013,2013-14,43,7.1,6.7,11,"3,151","47,746"
2013,2013-14,44,7.2,6.8,12,"3,271","48,777"
2013,2013-14,45,7.3,6.9,17,"3,429","48,939"
2013,2013-14,46,7.4,7,15,"3,320","49,409"
2013,2013-14,47,7.5,7.1,28,"3,430","49,591"
2013,2013-14,48,7.7,7.3,33,"3,385","49,288"
2013,2013-14,49,7.8,7.4,42,"3,594","50,812"
2013,2013-14,50,7.9,7.5,68,"3,856","51,848"
2013,2013-14,51,8,7.6,107,"3,917","52,548"
2013,2013-14,52,8.1,7.7,207,"3,942","51,954"
2015,2014-15,1,8.3,7.9,"1,099","5,576","61,737"
2015,2014-15,2,8.4,8,981,"5,589","61,141"
2015,2014-15,3,8.5,8.1,710,"5,183","58,628"
2015,2014-15,4,8.5,8.1,585,"4,856","57,269"
2015,2014-15,5,8.5,8.1,482,"4,733","57,284"
2015,2014-15,6,8.6,8.2,405,"4,569","56,420"
2015,2014-15,7,8.6,8.2,282,"4,478","56,348"
2015,2014-15,8,8.6,8.1,221,"4,498","55,668"
2015,2014-15,9,8.5,8.1,189,"4,494","55,732"
2015,2014-15,10,8.5,8.1,156,"4,418","55,272"
2015,2014-15,11,8.4,8,139,"4,179","54,262"
2015,2014-15,12,8.3,7.9,121,"3,887","53,238"
2015,2014-15,13,8.2,7.8,99,"3,825","53,009"
2015,2014-15,14,8.1,7.7,100,"3,827","52,696"
2015,2014-15,15,8,7.6,75,"3,920","52,844"
2015,2014-15,16,7.9,7.5,63,"3,805","51,608"
2015,2014-15,17,7.8,7.4,50,"3,652","51,466"
2015,2014-15,18,7.6,7.2,28,"3,550","51,659"
2015,2014-15,19,7.5,7.1,22,"3,474","50,672"
2015,2014-15,20,7.3,6.9,14,"3,235","49,327"
2015,2014-15,21,7.2,6.8,18,"3,364","49,718"
2015,2014-15,22,7.1,6.7,10,"3,189","49,041"
2015,2014-15,23,6.9,6.5,11,"3,211","49,751"
2015,2014-15,24,6.8,6.4,6,"3,150","49,109"
2015,2014-15,25,6.7,6.3,4,"3,197","49,057"
2015,2014-15,26,6.6,6.2,6,"3,111","49,218"
2015,2014-15,27,6.5,6.1,7,"3,081","48,917"
2015,2014-15,28,6.4,6,7,"3,030","49,227"
2015,2014-15,29,6.3,5.9,3,"3,003","48,548"
2015,2014-15,30,6.2,5.8,4,"2,892","48,258"
2015,2014-15,31,6.2,5.8,4,"2,920","47,732"
2015,2014-15,32,6.2,5.8,8,"2,834","47,977"
2015,2014-15,33,6.1,5.7,6,"2,935","48,438"
2015,2014-15,34,6.2,5.8,5,"2,903","48,496"
2015,2014-15,35,6.2,5.8,3,"2,938","48,723"
2015,2014-15,36,6.2,5.8,3,"2,946","48,762"
2015,2014-15,37,6.3,5.9,6,"3,001","48,857"
2015,2014-15,38,6.3,5.9,8,"3,047","49,228"
2015,2014-15,39,6.4,6,6,"3,057","48,805"
2014,2014-15,40,6.7,6.2,6,"3,075","48,359"
2014,2014-15,41,6.8,6.3,8,"3,142","49,351"
2014,2014-15,42,6.9,6.4,13,"3,084","49,224"
2014,2014-15,43,7,6.6,11,"3,201","49,044"
2014,2014-15,44,7.1,6.7,17,"3,152","48,947"
2014,2014-15,45,7.2,6.8,11,"3,202","50,952"
2014,2014-15,46,7.4,6.9,18,"3,233","50,361"
2014,2014-15,47,7.5,7.1,31,"3,379","52,469"
2014,2014-15,48,7.6,7.2,46,"3,412","51,762"
2014,2014-15,49,7.8,7.3,83,"3,619","52,727"
2014,2014-15,50,7.9,7.5,169,"3,785","53,554"
2014,2014-15,51,8,7.6,312,"4,098","54,622"
2014,2014-15,52,8.1,7.7,512,"4,264","56,028"
2014,2014-15,53,8.2,7.8,"1,014","5,034","59,342"
2016,2015-16,1,7.9,7.5,32,"4,241","55,788"
2016,2015-16,2,7.9,7.6,30,"4,278","55,525"
2016,2015-16,3,8,7.7,36,"4,043","55,182"
2016,2015-16,4,8.1,7.7,50,"4,110","55,606"
2016,2015-16,5,8.1,7.7,61,"4,064","54,896"
2016,2015-16,6,8.1,7.8,93,"3,935","55,106"
2016,2015-16,7,8.1,7.8,148,"4,011","55,785"
2016,2015-16,8,8.1,7.7,187,"4,197","54,873"
2016,2015-16,9,8.1,7.7,257,"4,243","55,875"
2016,2015-16,10,8,7.7,294,"4,277","56,112"
2016,2015-16,11,8,7.6,351,"4,143","54,462"
2016,2015-16,12,7.9,7.6,295,"4,176","54,662"
2016,2015-16,13,7.8,7.5,282,"3,893","53,880"
2016,2015-16,14,7.7,7.4,250,"3,945","54,066"
2016,2015-16,15,7.6,7.3,196,"3,891","53,490"
2016,2015-16,16,7.5,7.2,148,"3,684","53,149"
2016,2015-16,17,7.4,7.1,127,"3,398","51,027"
2016,2015-16,18,7.3,6.9,91,"3,403","51,270"
2016,2015-16,19,7.2,6.8,74,"3,240","51,000"
2016,2015-16,20,7,6.7,34,"3,290","50,469"
2016,2015-16,21,6.9,6.6,30,"3,199","50,490"
2016,2015-16,22,6.8,6.4,17,"3,025","49,711"
2016,2015-16,23,6.7,6.3,17,"3,175","49,917"
